,Pair,Score,label,gpt_rating
2659,"(26715, 5110)",0.6695804779530639,positive,7.0
4615,"(18287, 16555)",0.6445977862396175,positive,5.0
4628,"(41328, 28542)",0.6665753234482485,positive,3.0
2451,"(69249, 90638)",0.7171615292076594,positive,7.0
2846,"(79751, 96851)",0.6090471831808039,positive,3.0
1144,"(11302, 71576)",0.6853239300770892,positive,5.0
3078,"(100318, 36624)",0.5323616022804414,positive,5.0
168,"(69163, 42242)",0.6718647861609444,positive,5.0
1670,"(62211, 93148)",0.5913855676031154,positive,3.0
2570,"(64309, 96540)",0.7555145359454372,positive,7.0
2377,"(94088, 101530)",0.7680447852787846,positive,3.0
4395,"(68323, 52334)",0.715839023764999,positive,5.0
4257,"(77240, 95612)",0.4503239091269199,positive,3.0
3862,"(56115, 5617)",0.641502189960083,positive,3.0
23,"(28693, 23923)",0.5977473714843773,positive,3.0
2633,"(97359, 72312)",0.6615387196323914,positive,5.0
3340,"(58067, 28755)",0.5096913308131608,positive,7.0
2215,"(15577, 10808)",0.5822761195160429,positive,5.0
3682,"(90486, 9605)",0.5573820418553787,positive,3.0
4724,"(95556, 39925)",0.5465618921427344,positive,7.0
1907,"(5776, 35472)",0.6260997869470407,positive,7.0
84,"(23247, 43521)",0.5624950714444943,positive,3.0
227,"(63734, 4433)",0.5202360015948259,positive,7.0
296,"(12183, 87195)",0.5574646708107391,positive,3.0
1001,"(77735, 66915)",0.6687717549825263,positive,7.0
2138,"(76367, 36917)",0.7471646701784873,positive,3.0
2801,"(17153, 35071)",0.6762411619975319,positive,7.0
2527,"(36035, 29507)",0.6799849128682585,positive,7.0
3752,"(77362, 66603)",0.6496757821326968,positive,3.0
3321,"(45096, 33114)",0.5785176800520413,positive,7.0
3181,"(30573, 16263)",0.7306208122882345,positive,7.0
4183,"(15193, 8860)",0.5404307019638619,positive,3.0
1615,"(48543, 23389)",0.5741808865821378,positive,3.0
3024,"(53072, 55139)",0.6977466399570444,positive,7.0
1413,"(2573, 32801)",0.43362235885425915,positive,5.0
763,"(84665, 61605)",0.6447285719505218,positive,
655,"(23714, 89240)",0.6443545602276006,positive,3.0
4797,"(81132, 91935)",0.6979642123678202,positive,7.0
3849,"(7684, 64687)",0.5948683530094822,positive,5.0
4153,"(26672, 40438)",0.5914537424019929,positive,5.0
468,"(8308, 15309)",0.533313451018047,positive,2.0
157,"(81734, 78156)",0.6558145671172442,positive,3.0
1295,"(62823, 56674)",0.5952874543530494,positive,3.0
497,"(84664, 44059)",0.7667584639162093,positive,7.0
4740,"(76361, 87918)",0.7422265043689563,positive,3.0
2940,"(78645, 66309)",0.7086896680681685,positive,5.0
3456,"(74813, 48285)",0.6972819716552121,positive,5.0
373,"(65726, 101579)",0.65908096320021,positive,3.0
79,"(91387, 86100)",0.5940747544937546,positive,7.0
1553,"(12182, 86299)",0.6984829782233921,positive,7.0
1669,"(80435, 50717)",0.6062782548240204,positive,3.0
2131,"(61367, 39616)",0.6760868583649846,positive,5.0
4439,"(26536, 1807)",0.6180518384397697,positive,3.0
465,"(25945, 89651)",0.6585385994870347,positive,7.0
248,"(49811, 66330)",0.6690808322083359,positive,3.0
931,"(39749, 46546)",0.5699535304970025,positive,7.0
1335,"(99785, 99358)",0.5738717973160703,positive,3.0
4524,"(75715, 53579)",0.7249717368089832,positive,7.0
1338,"(81974, 83196)",0.701179075296663,positive,3.0
1406,"(90093, 65619)",0.5690217839110658,positive,3.0
1090,"(42078, 82557)",0.6725790589423568,positive,5.0
742,"(52528, 15793)",0.5985575399212139,positive,3.0
2323,"(36914, 87045)",0.6047648326023007,positive,7.0
3601,"(55398, 90439)",0.7736467610230113,positive,3.0
2094,"(98833, 67801)",0.4345993502365863,positive,3.0
240,"(22671, 42756)",0.49857051220570603,positive,5.0
2351,"(29734, 65695)",0.5296350514103909,positive,3.0
1370,"(17327, 28838)",0.5561501165796644,positive,3.0
1057,"(91922, 3528)",0.6828787081499024,positive,7.0
4816,"(90009, 5799)",0.7331984032579747,positive,3.0
199,"(61087, 4652)",0.541003464567942,positive,7.0
2280,"(22443, 20967)",0.761548558350026,positive,7.0
4749,"(30949, 15101)",0.648994340973364,positive,5.0
2220,"(24089, 21623)",0.6086290348563601,positive,3.0
4771,"(29084, 21852)",0.7518085862062778,positive,3.0
2819,"(38714, 56856)",0.653203941158957,positive,3.0
3150,"(69184, 19913)",0.5769473960554243,positive,7.0
4256,"(60614, 8644)",0.7193070674785882,positive,5.0
3107,"(22669, 70903)",0.6894747131835373,positive,7.0
1973,"(22431, 33978)",0.6588694003664212,positive,7.0
1375,"(2198, 2384)",0.5714413482681332,positive,7.0
4062,"(19008, 51117)",0.6341417659151518,positive,5.0
4445,"(46002, 75423)",0.5388689078251758,positive,7.0
3557,"(94611, 44564)",0.5380661211715128,positive,7.0
964,"(16748, 13765)",0.6755362414435753,positive,5.0
179,"(23776, 51795)",0.707096926094454,positive,5.0
3698,"(68670, 90717)",0.6473545095034765,positive,7.0
3821,"(57169, 79196)",0.6093378931071637,positive,7.0
4878,"(82214, 57678)",0.6001558945010114,positive,3.0
3899,"(15072, 26069)",0.5983388342721748,positive,2.0
4487,"(30908, 23168)",0.8307182101956689,positive,7.0
3238,"(29139, 40853)",0.7363131302216185,positive,7.0
2974,"(49815, 4279)",0.6349830027417143,positive,3.0
3580,"(22207, 60509)",0.6510044826291509,positive,5.0
2887,"(56447, 79548)",0.4510263702481966,positive,7.0
2575,"(91245, 101515)",0.5958787169835257,positive,3.0
1419,"(55029, 2931)",0.7223949739856501,positive,3.0
3907,"(50876, 75689)",0.6646042130043621,positive,3.0
4673,"(11254, 28563)",0.6778194608545209,positive,7.0
4902,"(24417, 71822)",0.6804629008385709,positive,3.0
1860,"(97768, 99507)",0.6208681882487883,positive,3.0
8,"(44131, 3718)",0.581879045199599,positive,3.0
2894,"(55147, 14949)",0.6670957391566403,positive,3.0
2847,"(98605, 78075)",0.6545779400873759,positive,3.0
3664,"(89900, 85456)",0.6436106232456349,positive,5.0
144,"(23419, 57620)",0.6779433193503152,positive,3.0
2104,"(88397, 54359)",0.4049348277110958,positive,7.0
3143,"(55718, 17996)",0.6775240422492446,positive,7.0
841,"(45543, 25249)",0.6910323648952107,positive,7.0
1128,"(11954, 62978)",0.730893959296565,positive,2.0
151,"(71910, 50460)",0.805194531739335,positive,5.0
3591,"(61035, 65764)",0.6442778184507534,positive,3.0
1052,"(97579, 58256)",0.6129717909482135,positive,5.0
1590,"(2983, 5642)",0.5345760889848808,positive,3.0
2029,"(80885, 97858)",0.5772928835044069,positive,7.0
3418,"(13947, 56556)",0.7234427868176128,positive,5.0
1807,"(76242, 72481)",0.6872935042144809,positive,7.0
2696,"(89881, 46238)",0.6337370595691281,positive,5.0
3039,"(2096, 58397)",0.6042038208571665,positive,3.0
472,"(89480, 84786)",0.8224650125186065,positive,7.0
3289,"(32994, 58759)",0.6529577808489889,positive,7.0
4074,"(48695, 26055)",0.65436473973937,positive,3.0
3496,"(26649, 64490)",0.6550625785380074,positive,3.0
279,"(16371, 57934)",0.6370590787882346,positive,7.0
1741,"(41755, 22097)",0.6281999631625094,positive,3.0
4624,"(50719, 61646)",0.6483535165941524,positive,7.0
2886,"(9496, 83693)",0.4364705300438939,positive,7.0
1941,"(85708, 101356)",0.6892255263830072,positive,7.0
100,"(2568, 61327)",0.5938700607273564,positive,3.0
2804,"(39071, 76228)",0.6494299405806094,positive,3.0
3570,"(70448, 43399)",0.7414039267521916,positive,3.0
3684,"(36788, 48028)",0.7943142254044047,positive,8.0
3661,"(2282, 9618)",0.6649152012401356,positive,7.0
530,"(9540, 5116)",0.7547176508230307,positive,7.0
1886,"(99986, 62443)",0.6791861157027154,positive,3.0
681,"(28295, 66804)",0.6845241049492757,positive,5.0
3794,"(56882, 78090)",0.6163642318712225,positive,7.0
3944,"(42727, 29036)",0.8057605954581138,positive,3.0
4666,"(19477, 70893)",0.6246285633057268,positive,3.0
2018,"(11653, 37847)",0.5961144754718499,positive,3.0
1096,"(67444, 5053)",0.7155440608268824,positive,5.0
829,"(53330, 80542)",0.6937330536416467,positive,3.0
2805,"(69519, 38538)",0.7327186877081552,positive,5.0
3829,"(18951, 62879)",0.7872858267956779,positive,3.0
4381,"(63227, 40931)",0.6634543916988769,positive,
3891,"(53410, 61134)",0.7361646654759453,positive,7.0
764,"(31921, 11609)",0.6673082974633142,positive,7.0
2767,"(92601, 91386)",0.5984928233332678,positive,7.0
4328,"(15449, 39234)",0.47035071179197396,positive,7.0
3295,"(95665, 36481)",0.7301370737687609,positive,7.0
2194,"(56503, 65932)",0.794055199587456,positive,5.0
2357,"(48368, 3679)",0.549508133500387,positive,3.0
3425,"(50085, 65549)",0.583198756577262,positive,5.0
3979,"(59766, 46092)",0.7461256722918601,positive,7.0
911,"(6090, 35348)",0.5622741571637979,positive,3.0
999,"(12910, 20052)",0.7504368858418188,positive,7.0
2483,"(88733, 90573)",0.8138419811892381,positive,7.0
4076,"(39129, 29997)",0.6580457076610494,positive,3.0
2370,"(88204, 56470)",0.7156562161209067,positive,7.0
4838,"(21869, 60279)",0.6350129808302389,positive,7.0
33,"(35773, 16397)",0.4645136910159093,positive,3.0
3789,"(5498, 21223)",0.5974689484382645,positive,7.0
1020,"(92436, 81734)",0.6223001050912929,positive,3.0
1647,"(40600, 60354)",0.634031946150341,positive,3.0
733,"(93396, 50203)",0.6921483005956673,positive,3.0
4582,"(42712, 11162)",0.6523204914377088,positive,7.0
3274,"(1283, 81097)",0.5268980290716312,positive,7.0
1620,"(16371, 57934)",0.6370590787882346,positive,7.0
3135,"(75415, 45167)",0.7068004976725388,positive,3.0
2689,"(41424, 42336)",0.5171805820124299,positive,7.0
2707,"(30620, 41897)",0.6302366884538917,positive,3.0
297,"(29299, 15058)",0.6167609004145903,positive,5.0
2339,"(31010, 35232)",0.5946944230605822,positive,7.0
653,"(88461, 84403)",0.5256187090358867,positive,7.0
3774,"(63918, 67440)",0.6737366523487734,positive,7.0
1255,"(39224, 15443)",0.7244355145006014,positive,7.0
4520,"(57727, 54046)",0.597736571864254,positive,7.0
230,"(98506, 91874)",0.5849525977523222,positive,3.0
3276,"(1125, 7722)",0.5518771088134392,positive,7.0
691,"(91267, 78904)",0.5517897605952264,positive,3.0
2754,"(76816, 28809)",0.625460854788022,positive,3.0
4863,"(869, 39497)",0.6919988676072156,positive,7.0
969,"(18030, 23825)",0.6114387726869415,positive,5.0
633,"(64895, 16747)",0.6709293829060542,positive,7.0
4092,"(93635, 76566)",0.632162026294198,positive,3.0
4077,"(100252, 41337)",0.6877530846256797,positive,3.0
1321,"(28865, 66749)",0.5543146653929276,positive,7.0
1831,"(20953, 72079)",0.6873497810044018,positive,3.0
2178,"(86213, 93591)",0.5755045263081414,positive,3.0
1417,"(60774, 82967)",0.6782091319861157,positive,3.0
1782,"(77236, 89252)",0.6565123330251881,positive,7.0
4715,"(80702, 16679)",0.5629375922797307,positive,7.0
4701,"(84526, 63287)",0.740996917287464,positive,3.0
4118,"(2257, 39214)",0.6142617685927645,positive,5.0
1652,"(4494, 3009)",0.7553755849908479,positive,7.0
1483,"(94613, 44864)",0.701550698643772,positive,3.0
2275,"(31324, 68701)",0.6006086621058792,positive,3.0
877,"(6941, 2589)",0.7065450408505206,positive,7.0
3525,"(40197, 77635)",0.6958159704541383,positive,7.0
2016,"(98511, 64894)",0.4882500943741684,positive,7.0
426,"(52921, 69559)",0.6453167653733805,positive,5.0
626,"(24466, 15844)",0.6328259163786618,positive,3.0
1589,"(95402, 91336)",0.7112172752742467,positive,3.0
2223,"(96999, 69671)",0.7055765658983904,positive,3.0
2217,"(55409, 62523)",0.5788803247055131,positive,3.0
4483,"(80578, 47148)",0.5983630200092702,positive,3.0
1485,"(21792, 19148)",0.6593532812360161,positive,3.0
1739,"(9903, 86644)",0.6708890454853479,positive,3.0
2480,"(28982, 18605)",0.6280659535487213,positive,7.0
2584,"(50200, 49606)",0.6652921761309427,positive,3.0
2893,"(22656, 84399)",0.7590413881135729,positive,7.0
149,"(18141, 68008)",0.6985193341364558,positive,7.0
676,"(19065, 52175)",0.8037820932679518,positive,3.0
1261,"(49688, 32990)",0.644870220447216,positive,3.0
4917,"(68814, 42190)",0.5995757300622181,positive,3.0
12,"(67221, 89036)",0.6039880145975718,positive,3.0
1833,"(67889, 40629)",0.6609632562082564,positive,7.0
3248,"(79473, 58641)",0.6132080844733699,positive,7.0
1491,"(12112, 4380)",0.49103700274379775,positive,2.0
2727,"(90900, 71774)",0.48104294375495793,positive,5.0
3686,"(61049, 44952)",0.5770875845130508,positive,7.0
1424,"(74532, 40790)",0.7408223355556668,positive,7.0
4605,"(21644, 81462)",0.5154022961411652,positive,7.0
4595,"(91118, 44959)",0.5047491427185171,positive,5.0
731,"(20559, 58469)",0.7167014673683934,positive,7.0
1231,"(44327, 4847)",0.6681503477668537,positive,7.0
1634,"(24574, 4281)",0.5724286311076285,positive,7.0
3936,"(11590, 76002)",0.721728861939949,positive,5.0
1210,"(75916, 57398)",0.6806929828756682,positive,7.0
3268,"(54400, 14101)",0.718088406847512,positive,7.0
1934,"(74744, 57223)",0.7195298547181892,positive,3.0
553,"(97856, 2955)",0.7020872845479694,positive,2.0
491,"(73666, 42957)",0.596044203455186,positive,3.0
2962,"(36727, 3186)",0.7119933374303752,positive,7.0
2329,"(6012, 15952)",0.5876905508639321,positive,5.0
2195,"(6638, 35089)",0.5891034249798102,positive,3.0
3064,"(1431, 21249)",0.6152105496541986,positive,7.0
657,"(74460, 40942)",0.7254917159899128,positive,5.0
2374,"(34068, 75138)",0.6523375890623808,positive,5.0
2225,"(50138, 97811)",0.6557084915043183,positive,5.0
4264,"(55751, 8980)",0.7453327135444026,positive,7.0
1170,"(82870, 82510)",0.7284622922400071,positive,3.0
471,"(1150, 33861)",0.5467473333050031,positive,3.0
3225,"(21800, 28147)",0.5789024411079986,positive,7.0
1405,"(67642, 70892)",0.8109045460383585,positive,7.0
2876,"(67260, 76786)",0.7832961895716561,positive,3.0
4504,"(37726, 16250)",0.7761372412752771,positive,3.0
4692,"(23620, 85492)",0.5830508303799129,positive,7.0
2826,"(2461, 8757)",0.5941860043151623,positive,3.0
287,"(43016, 24517)",0.623512227265262,positive,7.0
1869,"(60545, 44644)",0.7340498032111317,positive,3.0
3114,"(26928, 44729)",0.6327483399099616,positive,7.0
3625,"(99239, 89180)",0.5522314356101985,positive,3.0
2312,"(58348, 14626)",0.6589519124247507,positive,7.0
4923,"(95985, 100774)",0.7336853870102104,positive,7.0
1618,"(96122, 86118)",0.5588037916550872,positive,3.0
994,"(82152, 58295)",0.607269106521515,positive,
1803,"(31575, 38259)",0.6114104164267913,positive,7.0
2642,"(66918, 22902)",0.5362304538212136,positive,3.0
4802,"(73903, 21410)",0.6352998993360177,positive,7.0
3535,"(29033, 57176)",0.7368895582454034,positive,5.0
4831,"(43764, 34348)",0.7850226911634346,positive,5.0
3911,"(99441, 48052)",0.5510616787522133,positive,3.0
2107,"(26916, 74357)",0.5520278594922561,positive,7.0
3044,"(15078, 92602)",0.5001708916438531,positive,5.0
416,"(76429, 80615)",0.5764994659476053,positive,5.0
977,"(35854, 26457)",0.6543085114742482,positive,5.0
2417,"(7421, 6872)",0.6765949410644938,positive,5.0
505,"(95981, 80291)",0.6720493478952119,positive,3.0
4152,"(73016, 26298)",0.6099867604034791,positive,7.0
4255,"(7659, 53366)",0.6650611801810324,positive,7.0
3941,"(32792, 52200)",0.6627430630518207,positive,3.0
414,"(6655, 34445)",0.630067647419839,positive,5.0
4148,"(74083, 37593)",0.8344960515171271,positive,3.0
1183,"(64435, 76944)",0.7084044420713775,positive,5.0
893,"(55479, 63801)",0.6185632142163453,positive,7.0
805,"(86704, 20320)",0.7228801090094308,positive,7.0
555,"(69449, 65041)",0.6511253508598377,positive,7.0
3825,"(44695, 42996)",0.5960167200846018,positive,5.0
1197,"(99097, 92219)",0.673954125100168,positive,7.0
4253,"(38458, 70358)",0.5366648764213174,positive,7.0
4058,"(80811, 59851)",0.5448012838065049,positive,2.0
1293,"(21566, 69057)",0.5447433456138,positive,3.0
2221,"(36487, 75254)",0.632052913256155,positive,3.0
3504,"(78002, 91669)",0.7199963786269657,positive,5.0
3654,"(6031, 38017)",0.6549190828915956,positive,7.0
4758,"(30109, 10698)",0.5733334569865105,positive,7.0
3006,"(49811, 66330)",0.6690808322083359,positive,3.0
2093,"(48364, 85404)",0.6315128761625336,positive,7.0
2187,"(35057, 41815)",0.4590288016906996,positive,7.0
3036,"(7999, 19443)",0.6559459660952487,positive,5.0
3918,"(22313, 76855)",0.6465947419000794,positive,3.0
1272,"(79026, 71817)",0.5923686313010645,positive,3.0
290,"(15151, 70513)",0.5774694621507002,positive,7.0
4827,"(62956, 62050)",0.6795414201343136,positive,3.0
252,"(34754, 4778)",0.7171768037449965,positive,7.0
3245,"(11116, 40624)",0.6440969739626177,positive,5.0
350,"(93179, 22974)",0.7056695624324776,positive,3.0
1187,"(64772, 27770)",0.5359514017800344,positive,7.0
1961,"(75304, 79726)",0.6807078224359912,positive,3.0
422,"(78657, 69050)",0.7455055513626545,positive,7.0
90,"(12185, 30551)",0.6169549911182756,positive,7.0
3729,"(22852, 69280)",0.7667998691866896,positive,7.0
2236,"(78916, 98492)",0.6971939513983119,positive,3.0
670,"(46732, 69991)",0.637549201614471,positive,3.0
3040,"(25279, 27044)",0.6180200042029167,positive,3.0
26,"(25658, 17147)",0.7429129195017152,positive,7.0
429,"(22677, 24153)",0.6057974114691025,positive,5.0
683,"(42348, 43498)",0.623529000371807,positive,7.0
4463,"(8275, 100864)",0.6481705140857327,positive,3.0
3945,"(78471, 72268)",0.5637088567657189,positive,5.0
3523,"(42070, 89268)",0.682076140256974,positive,3.0
1541,"(67957, 55225)",0.7235133184057423,positive,5.0
2031,"(10326, 367)",0.8600580198481872,positive,7.0
2232,"(79134, 62556)",0.6849337196121559,positive,7.0
4120,"(24972, 71416)",0.5166767804760908,positive,7.0
3235,"(37991, 57158)",0.6427641604067403,positive,5.0
254,"(11411, 15003)",0.6228927471404048,positive,3.0
1029,"(85655, 23560)",0.6597491675602601,positive,5.0
4392,"(83596, 18805)",0.6656122121134156,positive,7.0
3800,"(91668, 39664)",0.5602734924426876,positive,7.0
4310,"(492, 21813)",0.7000697969338332,positive,3.0
2509,"(4895, 64305)",0.6625751447888957,positive,3.0
2292,"(92059, 59880)",0.7843358649714018,positive,7.0
1323,"(38000, 22977)",0.5016513618871025,positive,7.0
1550,"(37641, 37782)",0.7417130276882811,positive,8.0
4647,"(10578, 51313)",0.7516582790637967,positive,7.0
315,"(94179, 84732)",0.7163564610378427,positive,7.0
1242,"(19256, 22140)",0.7136885011027223,positive,7.0
2450,"(64315, 4792)",0.7259471753140772,positive,7.0
1578,"(17850, 25826)",0.6934029209835818,positive,7.0
4625,"(33919, 80267)",0.5323564747649732,positive,3.0
3116,"(57714, 98368)",0.5580401977787085,positive,7.0
69,"(72409, 93288)",0.7100853214465899,positive,3.0
859,"(53871, 5224)",0.7160470868727973,positive,5.0
2753,"(101015, 57790)",0.6272873251865325,positive,7.0
1632,"(10616, 26502)",0.6698859169037037,positive,9.0
1650,"(90093, 65619)",0.5690217839110658,positive,5.0
3860,"(60011, 1812)",0.6035518284166832,positive,5.0
3106,"(2539, 63715)",0.6412472987863141,positive,3.0
1074,"(87958, 22964)",0.5768311139121506,positive,3.0
4001,"(35596, 50691)",0.762994103133961,positive,7.0
787,"(84791, 35178)",0.6499105778483203,positive,3.0
2605,"(18268, 28594)",0.4863693640168177,positive,5.0
3630,"(24306, 52078)",0.749331253313161,positive,3.0
2121,"(69350, 58640)",0.6451494338606044,positive,3.0
1874,"(22042, 52833)",0.6880766085021826,positive,3.0
811,"(384, 84116)",0.6291601600232493,positive,3.0
387,"(72991, 99198)",0.563066533863729,positive,3.0
1175,"(32265, 16774)",0.7054355129997514,positive,3.0
3197,"(29118, 3733)",0.6385890626280075,positive,7.0
2623,"(59474, 39214)",0.614089202253771,positive,3.0
1351,"(68836, 31347)",0.5852543780275812,positive,3.0
410,"(89912, 30627)",0.596788359424398,positive,3.0
4212,"(6155, 29189)",0.6109383120605443,positive,3.0
109,"(13986, 6353)",0.5812752374019521,positive,7.0
4995,"(86465, 86085)",0.646077222135691,positive,3.0
3429,"(31655, 47425)",0.6197319855412671,positive,3.0
2809,"(95457, 89734)",0.5731415107580792,positive,5.0
2594,"(7967, 19425)",0.5167812787981738,positive,7.0
2836,"(30841, 40436)",0.6231362460800843,positive,3.0
2372,"(65429, 61544)",0.6327818805579879,positive,7.0
1235,"(13718, 34427)",0.7125954286746319,positive,7.0
2146,"(88576, 93443)",0.6619508103273288,positive,3.0
4975,"(92420, 49182)",0.6085290848019751,positive,3.0
599,"(65510, 33276)",0.6937436242695685,positive,3.0
1434,"(39952, 71139)",0.6478519291734964,positive,2.0
4996,"(41605, 43461)",0.5050277294100695,positive,5.0
538,"(49115, 99756)",0.6687430909019481,positive,3.0
721,"(99518, 90051)",0.7585337030968589,positive,3.0
4410,"(3696, 8658)",0.658236112245794,positive,7.0
1872,"(3093, 1125)",0.48412582532585297,positive,7.0
2845,"(15997, 78405)",0.7607926528086535,positive,3.0
2053,"(60315, 33209)",0.5507516838624298,positive,3.0
2907,"(79578, 58789)",0.787283533701522,positive,7.0
2254,"(67203, 51558)",0.6311874595164475,positive,5.0
3912,"(27103, 31878)",0.5932109024092563,positive,7.0
177,"(21976, 34287)",0.684872389327139,positive,7.0
2890,"(88199, 47425)",0.7117595069771419,positive,5.0
3673,"(50583, 98925)",0.6889458962099952,positive,3.0
80,"(1016, 4339)",0.5196766715186597,positive,3.0
1723,"(29192, 23343)",0.6385032053714217,positive,5.0
1617,"(69346, 88896)",0.5142319941109625,positive,3.0
1654,"(89431, 66597)",0.5839651099979127,positive,3.0
2328,"(46413, 96522)",0.6076356481196481,positive,7.0
4613,"(41520, 99257)",0.5940399082848261,positive,7.0
221,"(55680, 66867)",0.6724403327034699,positive,
93,"(39099, 70596)",0.5881158918465469,positive,7.0
2609,"(92822, 45613)",0.6977320195691321,positive,2.0
3382,"(58810, 100007)",0.6980732777083023,positive,5.0
1397,"(63197, 75152)",0.5891405536342385,positive,3.0
4686,"(97562, 67152)",0.6978229472975837,positive,3.0
1292,"(96731, 51799)",0.8522700785289457,positive,7.0
2164,"(83194, 6901)",0.7365090481471566,positive,7.0
2939,"(73445, 8020)",0.7333976753988221,positive,7.0
3668,"(74964, 101391)",0.6220984053572242,positive,3.0
812,"(404, 18885)",0.7316794849415708,positive,5.0
1258,"(40738, 92019)",0.5935311299918112,positive,7.0
889,"(70390, 61869)",0.7720876741515622,positive,7.0
1451,"(74182, 63863)",0.8050872615566917,positive,7.0
3316,"(90301, 90956)",0.6054681370371398,positive,7.0
2559,"(6721, 21576)",0.5791196484765766,positive,5.0
3574,"(35634, 54814)",0.6362525283251567,positive,3.0
2680,"(59353, 70351)",0.6616008276923518,positive,3.0
4651,"(99303, 30458)",0.644515240185771,positive,7.0
4811,"(94574, 79736)",0.6379291337838691,positive,7.0
4679,"(16199, 95148)",0.7591755958234754,positive,7.0
2964,"(65697, 41380)",0.5842155864077136,positive,7.0
2672,"(73294, 50706)",0.5454365471950012,positive,5.0
561,"(3373, 88619)",0.60698040143528,positive,3.0
2778,"(61063, 45040)",0.6441706594446024,positive,7.0
2948,"(37804, 27671)",0.7685154398869959,positive,7.0
2817,"(22168, 17273)",0.8177759007761876,positive,7.0
2758,"(94439, 69525)",0.7546636158098476,positive,5.0
1756,"(7314, 29536)",0.7166776371921749,positive,7.0
724,"(23960, 18128)",0.7390241526874601,positive,7.0
219,"(38623, 71069)",0.6420958814015474,positive,5.0
4139,"(23554, 28729)",0.6590815475149912,positive,7.0
3957,"(21281, 45346)",0.6602677277827709,positive,5.0
1588,"(82050, 14982)",0.6478847673995725,positive,5.0
3347,"(155, 11892)",0.7638852568093666,positive,7.0
3970,"(87329, 85202)",0.6576878907591979,positive,5.0
4707,"(81486, 47539)",0.6568456496903282,positive,3.0
43,"(80038, 32359)",0.6961299257313202,positive,7.0
3001,"(75564, 67839)",0.6019926013044583,positive,3.0
210,"(89474, 71158)",0.6128927671284139,positive,7.0
677,"(83460, 69851)",0.7180765299521847,positive,7.0
354,"(56835, 50403)",0.7180530916223808,positive,5.0
1433,"(26657, 51214)",0.544193637230978,positive,3.0
949,"(95257, 23956)",0.5912691667269514,positive,5.0
2843,"(100500, 99915)",0.7258013924837355,positive,3.0
3928,"(58653, 90033)",0.7844586317000568,positive,7.0
544,"(59275, 41561)",0.6096733925039175,positive,3.0
367,"(3420, 48295)",0.7136614357145366,positive,5.0
1612,"(75532, 69675)",0.6753676503088583,positive,5.0
3550,"(86716, 32484)",0.6825874485379414,positive,7.0
3716,"(93376, 93745)",0.6943056985591722,positive,3.0
3779,"(36575, 66575)",0.6631924883320384,positive,7.0
135,"(27266, 30155)",0.6498722301111957,positive,3.0
